ID,Model,ModelParameters,TransformationParameters,Ensemble
770dd0dbfb5dfd199e6ec61f127fdedb,MultivariateRegression,"{""regression_model"": {""model"": ""DecisionTree"", ""model_params"": {""max_depth"": null, ""min_samples_split"": 2}}, ""mean_rolling_periods"": 30, ""macd_periods"": 24, ""std_rolling_periods"": null, ""max_rolling_periods"": 2, ""min_rolling_periods"": 12, ""quantile90_rolling_periods"": null, ""quantile10_rolling_periods"": 90, ""ewm_alpha"": null, ""ewm_var_alpha"": null, ""additional_lag_periods"": null, ""abs_energy"": false, ""rolling_autocorr_periods"": null, ""nonzero_last_n"": null, ""datepart_method"": ""recurring"", ""polynomial_degree"": null, ""regression_type"": null, ""window"": 3, ""holiday"": true, ""probabilistic"": true, ""scale_full_X"": false, ""cointegration"": null, ""cointegration_lag"": 1, ""series_hash"": false}","{""fillna"": ""zero"", ""transformations"": {""0"": ""PositiveShift"", ""1"": ""PctChangeTransformer"", ""2"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {}}}",0
12305796affd5cd369a0bc43c8305023,MultivariateRegression,"{""regression_model"": {""model"": ""xgboost"", ""model_params"": {""n_estimators"": 7, ""max_leaves"": 4, ""min_child_weight"": 2.5, ""learning_rate"": 0.35, ""subsample"": 0.95, ""colsample_bylevel"": 0.56, ""colsample_bytree"": 0.46, ""reg_alpha"": 0.0016, ""reg_lambda"": 5.3}, ""datepart_method"": ""expanded""}, ""mean_rolling_periods"": 12, ""macd_periods"": 7, ""std_rolling_periods"": 90, ""max_rolling_periods"": 84, ""min_rolling_periods"": 7, ""quantile90_rolling_periods"": null, ""quantile10_rolling_periods"": null, ""ewm_alpha"": 0.8, ""ewm_var_alpha"": null, ""additional_lag_periods"": null, ""abs_energy"": false, ""rolling_autocorr_periods"": null, ""nonzero_last_n"": null, ""datepart_method"": ""recurring"", ""polynomial_degree"": null, ""regression_type"": null, ""window"": 10, ""holiday"": false, ""probabilistic"": false, ""scale_full_X"": false, ""cointegration"": null, ""cointegration_lag"": 1, ""series_hash"": false}","{""fillna"": ""zero"", ""transformations"": {""0"": ""MaxAbsScaler"", ""1"": ""PctChangeTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""AlignLastValue""}, ""transformation_params"": {""0"": {}, ""1"": {}, ""2"": {}, ""3"": {""rows"": 1, ""lag"": 1, ""method"": ""additive"", ""strength"": 1.0, ""first_value_only"": false}}}",0
60215c9e7eec15311d968091e8df0f1a,WindowRegression,"{""window_size"": 10, ""input_dim"": ""univariate"", ""output_dim"": ""1step"", ""normalize_window"": false, ""max_windows"": 5000, ""regression_type"": null, ""regression_model"": {""model"": ""BayesianRidge"", ""model_params"": {}}}","{""fillna"": ""cubic"", ""transformations"": {""0"": ""Round"", ""1"": ""PctChangeTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""MaxAbsScaler"", ""4"": ""AlignLastValue""}, ""transformation_params"": {""0"": {""decimals"": 0, ""on_transform"": true, ""on_inverse"": false}, ""1"": {}, ""2"": {}, ""3"": {}, ""4"": {""rows"": 1, ""lag"": 1, ""method"": ""additive"", ""strength"": 1.0, ""first_value_only"": false}}}",0
8c99e466d645884244c8b0ece4eff373,WindowRegression,"{""window_size"": 5, ""input_dim"": ""univariate"", ""output_dim"": ""1step"", ""normalize_window"": false, ""max_windows"": 5000000, ""regression_type"": null, ""regression_model"": {""model"": ""ExtraTrees"", ""model_params"": {""n_estimators"": 100, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""max_depth"": null, ""criterion"": ""squared_error"", ""max_features"": 1}}}","{""fillna"": ""rolling_mean"", ""transformations"": {""0"": ""Round"", ""1"": ""PctChangeTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""MaxAbsScaler"", ""4"": ""AlignLastValue""}, ""transformation_params"": {""0"": {""decimals"": 0, ""on_transform"": true, ""on_inverse"": false}, ""1"": {}, ""2"": {}, ""3"": {}, ""4"": {""rows"": 1, ""lag"": 1, ""method"": ""additive"", ""strength"": 1.0, ""first_value_only"": false}}}",0
4979e052730031e45d56543c7b650855,RRVAR,"{""method"": ""als"", ""rank"": 4, ""maxiter"": 200}","{""fillna"": ""mean"", ""transformations"": {""0"": ""Round"", ""1"": ""PctChangeTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""PositiveShift"", ""4"": ""AlignLastValue"", ""5"": ""AlignLastValue""}, ""transformation_params"": {""0"": {""decimals"": 0, ""on_transform"": true, ""on_inverse"": false}, ""1"": {}, ""2"": {}, ""3"": {}, ""4"": {""rows"": 1, ""lag"": 1, ""method"": ""additive"", ""strength"": 1.0, ""first_value_only"": false}, ""5"": {""rows"": 1, ""lag"": 1, ""method"": ""additive"", ""strength"": 1.0, ""first_value_only"": false}}}",0
2d419068de7f10a549039585ec9d5a6f,RollingRegression,"{""regression_model"": {""model"": ""ElasticNet"", ""model_params"": {}}, ""holiday"": false, ""mean_rolling_periods"": null, ""macd_periods"": null, ""std_rolling_periods"": 5, ""max_rolling_periods"": 96, ""min_rolling_periods"": 1440, ""ewm_var_alpha"": null, ""quantile90_rolling_periods"": null, ""quantile10_rolling_periods"": null, ""ewm_alpha"": null, ""additional_lag_periods"": 11, ""abs_energy"": false, ""rolling_autocorr_periods"": null, ""nonzero_last_n"": null, ""add_date_part"": null, ""polynomial_degree"": null, ""x_transform"": null, ""regression_type"": null}","{""fillna"": ""rolling_mean"", ""transformations"": {""0"": ""Round"", ""1"": ""PctChangeTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""MaxAbsScaler"", ""4"": ""AlignLastValue""}, ""transformation_params"": {""0"": {""decimals"": 0, ""on_transform"": true, ""on_inverse"": false}, ""1"": {}, ""2"": {}, ""3"": {}, ""4"": {""rows"": 1, ""lag"": 1, ""method"": ""additive"", ""strength"": 1.0, ""first_value_only"": false}}}",0
8afba8b1f7f474a9507329e43a4467bf,LATC,"{""time_horizon"": 1, ""seasonality"": 7, ""time_lags"": [2], ""lambda0"": 1, ""learning_rate"": 1, ""theta"": 2, ""window"": null, ""epsilon"": 0.0001, ""alpha"": [0.33333333, 0.33333333, 0.33333333], ""maxiter"": 150}","{""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""Round"", ""1"": ""PctChangeTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""MaxAbsScaler"", ""4"": ""AlignLastValue""}, ""transformation_params"": {""0"": {""decimals"": 0, ""on_transform"": true, ""on_inverse"": false}, ""1"": {}, ""2"": {}, ""3"": {}, ""4"": {""rows"": 1, ""lag"": 1, ""method"": ""additive"", ""strength"": 1.0, ""first_value_only"": false}}}",0
fc50ed5309c08b50abe997393bbe06bb,RollingRegression,"{""regression_model"": {""model"": ""HistGradientBoost"", ""model_params"": {""loss"": ""squared_error"", ""learning_rate"": 0.1, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_iter"": 250, ""l2_regularization"": 0.4}}, ""holiday"": false, ""mean_rolling_periods"": null, ""macd_periods"": null, ""std_rolling_periods"": 5, ""max_rolling_periods"": null, ""min_rolling_periods"": 1440, ""ewm_var_alpha"": null, ""quantile90_rolling_periods"": null, ""quantile10_rolling_periods"": null, ""ewm_alpha"": null, ""additional_lag_periods"": 11, ""abs_energy"": false, ""rolling_autocorr_periods"": null, ""nonzero_last_n"": null, ""add_date_part"": null, ""polynomial_degree"": null, ""x_transform"": null, ""regression_type"": null}","{""fillna"": ""rolling_mean"", ""transformations"": {""0"": ""Round"", ""1"": ""PctChangeTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""MaxAbsScaler"", ""4"": ""AlignLastValue""}, ""transformation_params"": {""0"": {""decimals"": 0, ""on_transform"": true, ""on_inverse"": false}, ""1"": {}, ""2"": {}, ""3"": {}, ""4"": {""rows"": 1, ""lag"": 1, ""method"": ""additive"", ""strength"": 1.0, ""first_value_only"": false}}}",0
7a578837fa9865cf5f4bbcea4eca0305,LATC,"{""time_horizon"": 2, ""seasonality"": 7, ""time_lags"": [2], ""lambda0"": 0, ""learning_rate"": 1, ""theta"": 2, ""window"": null, ""epsilon"": 0.0001, ""alpha"": [0.33333333, 0.33333333, 0.33333333], ""maxiter"": 150}","{""fillna"": ""rolling_mean"", ""transformations"": {""0"": ""Round"", ""1"": ""PctChangeTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""bkfilter"", ""4"": ""AlignLastValue""}, ""transformation_params"": {""0"": {""decimals"": 0, ""on_transform"": true, ""on_inverse"": false}, ""1"": {}, ""2"": {}, ""3"": {}, ""4"": {""rows"": 1, ""lag"": 1, ""method"": ""additive"", ""strength"": 1.0, ""first_value_only"": false}}}",0
b59bbfd08fb44f263cde303482be7808,LATC,"{""time_horizon"": 1, ""seasonality"": 12, ""time_lags"": [2], ""lambda0"": 1, ""learning_rate"": 1, ""theta"": 2, ""window"": null, ""epsilon"": 0.0001, ""alpha"": [0.33333333, 0.33333333, 0.33333333], ""maxiter"": 150}","{""fillna"": ""rolling_mean"", ""transformations"": {""0"": ""Round"", ""1"": ""PctChangeTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""bkfilter"", ""4"": ""AlignLastValue""}, ""transformation_params"": {""0"": {""decimals"": 0, ""on_transform"": true, ""on_inverse"": false}, ""1"": {}, ""2"": {}, ""3"": {}, ""4"": {""rows"": 1, ""lag"": 1, ""method"": ""additive"", ""strength"": 1.0, ""first_value_only"": false}}}",0
